"filename", "language", "CMake", "C++", "Dart", "YAML", "Java Properties", "Groovy", "XML", "Markdown", "Swift", "JSON", "HTML", "comment", "blank", "total"
"/Users/idang/expotify/expotify/igals_expotify/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 17
"/Users/idang/expotify/expotify/igals_expotify/analysis_options.yaml", "YAML", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 22, 4, 29
"/Users/idang/expotify/expotify/igals_expotify/android/app/build.gradle", "Groovy", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 12, 68
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/debug/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/main/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 6, 1, 34
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/main/res/drawable-v21/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/main/res/drawable/launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 7, 2, 13
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/main/res/values-night/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/main/res/values/styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 9, 1, 19
"/Users/idang/expotify/expotify/igals_expotify/android/app/src/profile/AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 4, 1, 8
"/Users/idang/expotify/expotify/igals_expotify/android/build.gradle", "Groovy", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 5, 32
"/Users/idang/expotify/expotify/igals_expotify/android/gradle.properties", "Java Properties", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/idang/expotify/expotify/igals_expotify/android/gradle/wrapper/gradle-wrapper.properties", "Java Properties", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/idang/expotify/expotify/igals_expotify/android/settings.gradle", "Groovy", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 5, 21
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 0, 0, 1, 123
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 2, 5
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
"/Users/idang/expotify/expotify/igals_expotify/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/idang/expotify/expotify/igals_expotify/ios/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/idang/expotify/expotify/igals_expotify/lib/design/color.dart", "Dart", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18
"/Users/idang/expotify/expotify/igals_expotify/lib/main.dart", "Dart", 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 40
"/Users/idang/expotify/expotify/igals_expotify/lib/objects/spot.dart", "Dart", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 18
"/Users/idang/expotify/expotify/igals_expotify/lib/objects/track_object.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/Users/idang/expotify/expotify/igals_expotify/lib/utils/data/spotify.dart", "Dart", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/idang/expotify/expotify/igals_expotify/lib/utils/storage/spotify.dart", "Dart", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 66
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/album.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/artist.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/eposide.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/playlist.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/preview.dart", "Dart", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/show.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/cards/song.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/debug_widgets/debug_all.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 78
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/debug_widgets/section.dart", "Dart", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 34
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/parts/preview_section.dart", "Dart", 0, 0, 102, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 109
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/parts/provider/preview_section_provider.dart", "Dart", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/providers/main_frame_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/providers/spotify_login_provider.dart", "Dart", 0, 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 53
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/albums_of_artist.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/choose_playlsit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/export.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 3
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/main_frame.dart", "Dart", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 162
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/recommendations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/saved_in_account.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/search.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/songs_select.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/screens/user_data.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/Users/idang/expotify/expotify/igals_expotify/lib/widgets/spotify_login.dart", "Dart", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 73
"/Users/idang/expotify/expotify/igals_expotify/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/idang/expotify/expotify/igals_expotify/linux/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/idang/expotify/expotify/igals_expotify/linux/flutter/generated_plugins.cmake", "CMake", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/idang/expotify/expotify/igals_expotify/linux/main.cc", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/idang/expotify/expotify/igals_expotify/linux/my_application.cc", "C++", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"/Users/idang/expotify/expotify/igals_expotify/linux/my_application.h", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/Users/idang/expotify/expotify/igals_expotify/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 3, 4, 13
"/Users/idang/expotify/expotify/igals_expotify/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/Users/idang/expotify/expotify/igals_expotify/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 1, 69
"/Users/idang/expotify/expotify/igals_expotify/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/Users/idang/expotify/expotify/igals_expotify/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"/Users/idang/expotify/expotify/igals_expotify/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 4, 13
"/Users/idang/expotify/expotify/igals_expotify/pubspec.yaml", "YAML", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 58, 16, 97
"/Users/idang/expotify/expotify/igals_expotify/test/widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/Users/idang/expotify/expotify/igals_expotify/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 16, 6, 60
"/Users/idang/expotify/expotify/igals_expotify/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 1, 36
"/Users/idang/expotify/expotify/igals_expotify/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/Users/idang/expotify/expotify/igals_expotify/windows/flutter/generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/Users/idang/expotify/expotify/igals_expotify/windows/flutter/generated_plugins.cmake", "CMake", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/flutter_window.cpp", "C++", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/flutter_window.h", "C++", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/main.cpp", "C++", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/resource.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/utils.cpp", "C++", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/utils.h", "C++", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/win32_window.cpp", "C++", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/Users/idang/expotify/expotify/igals_expotify/windows/runner/win32_window.h", "C++", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 36, 531, 703, 26, 8, 94, 463, 13, 52, 248, 38, 306, 367, 2885